id,created_at,Animal,Lesson,S_Length,Completed,Track
207,2023-08-21 18:10:33.173062+00,Raev,0,838.092018,TRUE,1
210,2023-08-22 12:00:18.350506+00,Kanin,1,684.429788,TRUE,0
208,2023-08-22 11:44:21.889069+00,Kanin,0,647.086062,TRUE,0
209,2023-08-22 12:00:03.346901+00,Kanin,,,,
211,2023-08-23 09:23:42.106057+00,Reje,,,,
212,2023-08-23 09:24:03.894583+00,Reje,0,649.0031742,TRUE,1
215,2023-08-24 08:55:42.098576+00,,,,,
213,2023-08-23 10:05:17.255673+00,Raev,1,710.460781,TRUE,1
214,2023-08-23 10:34:10.136762+00,Raev,0,87.974658,,1
217,2023-08-24 19:02:47.506539+00,The harbinger,,,,
221,2023-08-29 09:55:33.251068+00,Reje,,,,
288,2023-09-12 15:58:22.832589+00,Laks,2,599.7687577,,2
268,2023-09-10 12:34:27.899993+00,Egern,2,14.683229,TRUE,2
257,2023-09-07 19:24:30.514034+00,Baever,1,687.69777,TRUE,0
258,2023-09-08 11:02:29.611972+00,Laks,,,,
232,2023-09-03 11:59:48.379447+00,Egern,0,609.288789,TRUE,2
233,2023-09-03 16:14:51.336179+00,,,,,
234,2023-09-03 17:16:56.885863+00,Ged,,,,
218,2023-08-26 07:27:03.566418+00,,0,645.8922042,TRUE,0
269,2023-09-10 13:08:29.903118+00,Ged,,,,
259,2023-09-08 11:02:53.112746+00,Laks,0,19.41982713,,2
289,2023-09-13 10:37:46.498573+00,Ged,,,,
219,2023-08-28 11:43:47.300566+00,,1,10,,0
255,2023-09-07 17:46:56.488252+00,Egern,1,643.818249,TRUE,2
256,2023-09-07 19:24:12.48564+00,Baever,,,,
305,2023-09-16 07:28:15.265867+00,Baever,,,,
348,2023-09-19 18:26:02.481441+00,Ged,,,,
278,2023-09-11 11:40:14.227787+00,Kanin,2,2.480015,TRUE,0
270,2023-09-10 13:09:02.232659+00,Ged,0,651.0094221,TRUE,0
271,2023-09-10 14:32:02.622402+00,Ged,,,,
291,2023-09-13 12:58:11.157553+00,Raev,0,608.395095,TRUE,2
302,2023-09-14 20:36:00.204814+00,Baever,0,14.503666,,0
292,2023-09-13 13:08:07.179351+00,Kanin,,,,
266,2023-09-10 12:33:04.910523+00,Egern,,,,
224,2023-08-29 13:36:01.478787+00,,1,713.693325,TRUE,1
229,2023-09-01 08:43:35.286782+00,,,,,
230,2023-09-01 08:43:54.41908+00,,3,798.0225223,TRUE,1
231,2023-09-03 11:59:07.870613+00,Egern,,,,
263,2023-09-08 11:07:52.745181+00,Laks,1,644.795379,TRUE,2
264,2023-09-10 12:29:31.248615+00,Egern,,,,
260,2023-09-08 11:03:50.827092+00,Laks,1,0,,2
294,2023-09-13 18:38:02.452003+00,,0,31.42839967,TRUE,0
239,2023-09-04 13:46:25.972208+00,,3,1058.883517,TRUE,1
267,2023-09-10 12:33:17.644868+00,Egern,,,,
295,2023-09-14 16:05:34.149453+00,,,,,
225,2023-08-30 17:14:20.505239+00,Egern,,,,
261,2023-09-08 11:05:51.470361+00,Laks,1,0,,2
235,2023-09-03 17:19:51.682199+00,Ged,2,649.6994433,TRUE,0
236,2023-09-04 13:45:10.936308+00,,,,,
226,2023-08-30 17:14:45.12227+00,Egern,3,795.43491,TRUE,1
227,2023-08-31 09:59:06.93475+00,Jesper test,,,,
228,2023-08-31 16:17:50.774894+00,,,,,
237,2023-09-04 13:45:40.83366+00,Phone reat,,,,
238,2023-09-04 13:46:05.853561+00,Phone reat,0,0,,2
216,2023-08-24 08:56:10.827311+00,,0,838.3624739,TRUE,1
296,2023-09-14 18:36:56.905987+00,Egern,,,,
240,2023-09-04 13:46:41.990201+00,Phone reat,,,,
244,2023-09-04 14:13:43.070916+00,,0,609.4713131,TRUE,2
